name,latitude,longitude,zone,location_key
North Ahmedabad,23.14,72.59,West,192711
South Ahmedabad,23,72.57,West,202438
East Ahmedabad,23.07,72.66,West,202438
West Ahmedabad,23.03,72.49,West,192710
North Delhi,28.68,77.21,North,3588434
South Delhi,28.45,77.13,North,893446
East Delhi,28.58,77.4,North,3133859
West Delhi,28.59,77.05,North,3588465
North Bengaluru,13.06,77.6,South,2862997
South Bengaluru,12.89,77.6,South,2865467
East Bengaluru,12.97,77.71,South,2864201
West Bengaluru,12.97,77.52,South,3352230
North Mumbai,19.3,72.88,West,2771398
South Mumbai,19.01,72.88,West,3352492
East Mumbai,19.17,73.14,West,2772460
West Mumbai,19.12,72.84,West,3352413
North Chennai,13.12,80.22,South,190754
South Chennai,12.89,80.14,South,2799897
East Chennai,13,80.24,South,206671
West Chennai,13.03,80.16,South,2799492
North Lucknow,26.9,80.94,North,206678
South Lucknow,26.78,80.96,North,206678
East Lucknow,26.88,81.04,North,206678
West Lucknow,26.82,80.88,North,206678
North Guwahati,26.18,91.76,East,186893
South Guwahati,26.13,91.79,East,186893
East Guwahati,26.15,91.82,East,186893
West Guwahati,26.16,91.67,East,186893
North Jaipur,26.94,75.79,West,205617
South Jaipur,26.83,75.81,West,205617
East Jaipur,26.86,75.84,West,205617
West Jaipur,26.91,75.73,West,205617
North Kolkata,22.66,88.38,East,191565
South Kolkata,22.5,88.35,East,206690
East Kolkata,22.58,88.44,East,3318389
West Kolkata,22.6,88.33,East,206691
North Patna,25.63,85.09,East,202349
South Patna,25.57,85.1,East,3222552
East Patna,25.6,85.18,East,202349
West Patna,25.59,85.05,East,3222127
North Pune,18.62,73.82,West,204843
South Pune,18.46,73.86,West,204848
East Pune,18.52,73.93,West,204848
West Pune,18.53,73.78,West,204848
North Ambala,30.39,76.78,North,188415
South Ambala,30.35,76.81,North,3041417
East Ambala,30.37,76.84,North,188434
West Ambala,30.38,76.75,North,3041326
North Chandigarh,30.72,76.73,North,202350
South Chandigarh,30.66,76.84,North,2072599
East Chandigarh,30.68,76.86,North,198186
West Chandigarh,30.7,76.72,North,3136635
North Kanpur,26.48,80.32,North,206679
South Kanpur,26.42,80.34,North,3145070
East Kanpur,26.43,80.39,North,206679
West Kanpur,26.5,80.27,North,206679
North Hyderabad,17.44,78.5,South,3351840
South Hyderabad,17.36,78.47,South,3351770
East Hyderabad,17.39,78.56,South,2831201
West Hyderabad,17.44,78.37,South,2831051
North Mysuru,12.35,76.62,South,204111
South Mysuru,12.28,76.62,South,204111
East Mysuru,12.3,76.68,South,204111
West Mysuru,12.32,76.61,South,204111
