City,lat,lon,zone,location_key
Ahmedabad,23.0725,72.5714,North,202438
Ahmedabad,22.9725,72.5714,South,3039053
Ahmedabad,23.0225,72.6214,East,202438
Ahmedabad,23.0225,72.5214,West,3038839
Delhi,28.6639,77.2090,North,3588435
Delhi,28.5639,77.2090,South,3588328
Delhi,28.6139,77.2590,East,3588424
Delhi,28.6139,77.1590,West,3588450
Bengaluru,13.0216,77.5946,North,3352173
Bengaluru,12.9216,77.5946,South,3352285
Bengaluru,12.9716,77.6446,East,3352194
Bengaluru,12.9716,77.5446,West,3352234
Mumbai,19.1260,72.8777,North,3352412
Mumbai,19.0260,72.8777,South,3352428
Mumbai,19.0760,72.9277,East,3352483
Mumbai,19.0760,72.8277,West,3352450
Chennai,13.1327,80.2707,North,190787
Chennai,13.0327,80.2707,South,206671
Chennai,13.0827,80.3207,East,206671
Chennai,13.0827,80.2207,West,206671
Lucknow,26.8967,80.9462,North,206678
Lucknow,26.7967,80.9462,South,206678
Lucknow,26.8467,80.9962,East,206678
Lucknow,26.8467,80.8962,West,206678
Guwahati,26.1945,91.7362,North,186920
Guwahati,26.0945,91.7362,South,186893
Guwahati,26.1445,91.7862,East,3592996
Guwahati,26.1445,91.6862,West,186893
Jaipur,26.9624,75.7873,North,205617
Jaipur,26.8624,75.7873,South,205617
Jaipur,26.9124,75.8373,East,205617
Jaipur,26.9124,75.7373,West,205617
Kolkata,22.6226,88.3639,North,206691
Kolkata,22.5226,88.3639,South,206690
Kolkata,22.5726,88.4139,East,3318389
Kolkata,22.5726,88.3139,West,206691
Patna,25.6441,85.1376,North,3220878
Patna,25.5441,85.1376,South,3222885
Patna,25.5941,85.1876,East,202349
Patna,25.5941,85.0876,West,202349
Pune,18.5704,73.8567,North,204848
Pune,18.4704,73.8567,South,204848
Pune,18.5204,73.9067,East,204848
Pune,18.5204,73.8067,West,204848
Ambala,30.4282,76.7767,North,3138746
Ambala,30.3282,76.7767,South,3041506
Ambala,30.3782,76.8267,East,3041357
Ambala,30.3782,76.7267,West,2960063
Chandigarh,30.7833,76.7794,North,3136630
Chandigarh,30.6833,76.7794,South,2072618
Chandigarh,30.7333,76.8294,East,3138709
Chandigarh,30.7333,76.7294,West,202350
Kanpur,26.4999,80.3319,North,3125610
Kanpur,26.3999,80.3319,South,206679
Kanpur,26.4499,80.3819,East,3145070
Kanpur,26.4499,80.2819,West,206679
Hyderabad,17.4350,78.4867,North,3351838
Hyderabad,17.3350,78.4867,South,3351749
Hyderabad,17.3850,78.5367,East,2831201
Hyderabad,17.3850,78.4367,West,3351788
Mysuru,12.3458,76.6394,North,204111
Mysuru,12.2458,76.6394,South,2869995
Mysuru,12.2958,76.6894,East,204111
Mysuru,12.2958,76.5894,West,2869855
Bhubaneshwar,20.3461,85.8245,North,189781
Bhubaneshwar,20.2461,85.8245,South,189781
Bhubaneshwar,20.2961,85.8745,East,189781
Bhubaneshwar,20.2961,85.7745,West,189781
Vijayawada,16.5562,80.6480,North,186815
Vijayawada,16.4562,80.6480,South,2835958
Vijayawada,16.5062,80.6980,East,2835781
Vijayawada,16.5062,80.5980,West,887477
Coimbatore,11.0668,76.9558,North,200983
Coimbatore,10.9668,76.9558,South,206673
Coimbatore,11.0168,77.0058,East,206673
Coimbatore,11.0168,76.9058,West,2808118
Dehradun,30.3665,78.0322,North,191339
Dehradun,30.2665,78.0322,South,3004341
Dehradun,30.3165,78.0822,East,3003811
